term,idx,idf
har,218,3.5581598008948356
ard,116,3.3019427080584838
lin,280,4.425739026440734
 sh,73,4.5908492659993865
 to,81,4.636429569486746
opm,367,5.166752988966005
int,245,3.4086072602157884
 te,77,4.2841057673008205
ant,107,4.796175896867428
nta,332,4.809914941844959
rant,390,4.567496922637712
 ha,39,4.575645547016432
 de,24,5.180568966422243
des,149,4.925693741940812
esi,196,4.538515408427742
sig,424,4.857500405860806
ign,232,4.927882669863159
 des,25,4.9259953783204455
desi,150,4.9298492388352
esig,197,4.930076399703932
sign,425,5.182224192933254
 desi,26,5.0068617652457945
desig,151,5.087108925906079
esign,198,4.565969843011816
ge ,209,3.5311585300014263
 br,11,3.5589860169685053
ill,233,3.5655236895930535
ll ,281,4.4800552700455345
ce ,131,4.889051472349205
nce ,312,4.839216574820372
ark,118,4.841847790851654
rad,388,4.841917126958459
adi,89,4.676282822307799
trad,471,4.949267324692302
 trad,84,4.888833441169883
ding ,157,4.004394087340364
er ,182,4.899059225987823
ern,186,4.923509594960679
rna,403,4.840946858672485
 int,45,3.9559812428337633
inte,246,4.590148249496791
tern,451,5.000016330642293
erna,187,5.098156793086785
rnat,404,4.010715791767608
 inte,46,4.107376765708725
inter,247,4.183803073081633
ntern,337,4.195068763632397
terna,452,4.5656015867012645
ernat,188,4.949421729077693
rnati,405,4.311264403780225
 he,40,4.619966909766742
 ch,17,4.70737217244372
tec,444,4.596692173771295
ech,159,4.673935403389494
tech,445,4.774099077417616
te ,443,4.775914901522253
ell,168,4.555917928627594
for,208,4.631136466301548
 ire,50,4.923885831843856
 irel,51,4.089083874143138
land ,270,4.881232144932729
act,88,5.164357089597656
tiv,464,4.730797329912447
uar,479,4.77235122133257
ner,319,4.818412430257141
 by,13,4.05489168602058
by ,127,4.084814472054501
 by ,14,4.087941408578453
gua,215,4.552330061117596
ara,113,5.13651065396976
 gua,37,4.003524222114616
guar,216,4.059827623901458
uara,480,4.083709355904846
aran,114,5.171851359876886
ante,108,5.00123529792175
ntee,334,5.046053040611748
tee ,449,5.1229188400891035
 guar,38,5.217026694028456
guara,217,5.056310417493188
uaran,481,4.897078954703704
arant,115,4.829855917304586
rante,391,4.685668682657184
antee,109,4.625368565668425
ntee ,335,4.6382378882435304
res,397,4.642602603389192
ess,199,4.987185813697552
ss ,428,4.155378895981847
rin,399,4.750408872903883
ring,400,4.771381508614761
ring ,401,4.4967069036379765
tor,469,4.572039263939609
car,130,4.958729894328869
 car,16,4.934630487271183
ain,93,4.934782647953156
 su,76,4.8084386296723824
 cl,18,5.036910506770025
dev,152,1.0277022181444964
eve,203,1.028395214094569
elo,169,4.833974822008839
lop,282,4.975943917347971
pme,379,3.601272378231595
 dev,27,4.670716673470879
deve,153,4.765069088298233
evel,204,4.583807551197837
velo,491,4.966710532883712
elop,170,5.182906553928683
lopm,283,4.343594805818714
opme,368,4.495088026196435
pmen,380,4.536980802775917
 deve,28,3.2211170228472628
devel,154,3.2235880580950558
evelo,205,3.9239359650077943
velop,492,4.683595037929177
elopm,171,4.53228931023415
lopme,284,5.154546085530952
opmen,369,4.5379012835363834
pment,381,4.548186265692673
 re,67,4.5486515863845725
 ro,68,4.984783313943407
tal,441,4.709738750204103
eng,176,4.012196624326402
 bu,12,5.0358156315185285
ish,261,4.717484344382025
sh ,423,4.50335701065597
or ,370,4.740711674566938
ors,372,4.772545276768348
 la,52,3.6002101580918358
ist,262,4.980154784412974
son,427,4.1442385562272115
ar ,112,4.843721555236243
uti,487,5.002048769047711
 le,53,5.002537169545819
ay ,126,4.358876536267449
ry ,418,4.5534726216158194
ale,95,4.5565432217541115
 be,10,4.450135561033539
 eng,31,5.078111776037236
 mo,62,4.936305529538878
ntr,338,5.151895572809239
utio,488,5.152273787639769
ution,489,4.725537254044728
 di,29,4.905614694534565
gin,213,4.913255397853989
ity,266,4.976261100761938
ity ,267,4.496314207775871
ngi,321,4.5407191248865235
erin,184,4.642602603389192
ering,185,4.055775831456938
her,220,4.07968924998818
ont,362,4.153252311136768
